@relation _home_wattams_temp_raib-scrape_data_txt_.

@attribute text string
@attribute filename string
@attribute @@class@@ {'Heavy rail','Heritage railways','Heavy rail and 1 others',Metros,'Heavy rail and 2 others','Light rail'}

@data

'\n  At around 05:56 hrs on 6 June 2013, train 2M43, the 04:34 hrs passenger service from Swansea to Shrewsbury, was driven over Llandovery level crossing in the town of Llandovery in Carmarthenshire, Wales, while the crossing was open to road traffic. As the train approached the level crossing, a van drove over immediately in front of it. A witness working in a garage next to the level crossing saw what had happened and reported the incident to the police.\n\nThe level crossing is operated by the train’s conductor using a control panel located on the station platform. The level crossing was still open to road traffic because the conductor of train 2M43 had not operated the level crossing controls. The conductor did not operate the level crossing because he may have had a lapse in concentration, and may have become distracted by other events at Llandovery station.\n\nThe train driver did not notice that the level crossing had not been operated because he may have been distracted by events before and during the train’s stop at Llandovery, and the positioning of equipment provided at Llandovery station relating to the operation of trains over the level crossing was sub-optimal.\n\nRAIB identified that an opportunity to integrate the operation of Llandovery level crossing into the signalling arrangements (which would have prevented this incident)was missed when signalling works were planned and commissioned at Llandovery between 2007 and 2010. The RAIB also identified that there was no formalised method of work for train operations at Llandovery.\n\nRAIB has made six recommendations. Four are to the train operator, Arriva Trains Wales, and focus on improving the position of platform equipment, identifying locations where traincrew carry out operational tasks and issuing methods of work for those locations, improvements to its operational risk management arrangements and improving the guidance given to its duty control managers on handling serious operational irregularities such as the one that occurred at Llandovery.\n\nTwo recommendations are made to Network Rail. These relate to improvements to its processes for signalling projects, to require the wider consideration of reasonable opportunities to make improvements when defining the scope of these projects, and consideration of the practicability of providing a clear indication to train crew when Llandovery level crossing, and other crossings of a similar design, are still open to road traffic.\n\nR112014-140515-Llandovery.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Llandovery\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heavy rail/near-miss_at_llandovery_level_crossing.txt','Heavy rail'
'\n  On 12 May 2007 a steam locomotive hauled passenger train was travelling from Dalegarth to Ravenglass at 5-7mph when the trailing bogie on the third coach derailed at Hollin How near Fisherground. There were no passenger injuries or significant damage to the train or track.\n\nThe cause of the derailment was flange climb of the leading right wheel of the trailing bogie on the third coach. This resulted directly from the collapse of the suspension on the left-hand side of the leading bogie, due to a compensating bar becoming detached. This probably occurred because the bar had not been refitted correctly after safety inspections, and the vehicle then entered service with the fault undetected.\n\nRAIB has made two recommendations as a result of the report, aimed at the checking of safety critical work on the Ravenglass & Eskdale Railway.\n\nR322007-070830-Fisherground.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Fisherground\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heritage railways/passenger_train_derailment_ravenglass_&_eskdale_railway.txt','Heritage railways'
'\n  During the morning of 8 March 2013, a train driver reported that flood water was flowing from the roof of a railway tunnel north of Old Street station near central London. The driver of an out-of-service passenger train was asked to examine the tunnel at low speed and check for damage. The driver stopped short of the water flow and reported that two large drills (augers) had come through the tunnel wall and were fouling the line ahead of his train.\n\nThe augers were being used for boring piles from a construction site about 13 metres above the top of the tunnel. The operators of the piling rig involved were unaware that they were working above an operational railway tunnel. Its position was not shown on the site plan, or on any map available to either the developer or the local planning authority. As a consequence, Network Rail was not consulted during the planning application stage and was unaware of the construction activity.\n\nThe RAIB has determined that approximately half of the piles required for the new development would have intersected with the tunnel had they had been constructed. It has identified two learning points from this incident which are relevant to the construction industry: clients and design teams should be aware of the importance of information shown on land ownership records; and those carrying out investigations for proposed developments should be aware that not all railway tunnels are shown on Ordnance Survey mapping.\n\nThe RAIB has also made five recommendations: three are addressed to railway infrastructure managers, and relate to: the provision of information to organisations undertaking property-related searches; the provision of information on the location of railway tunnels and associated subterranean structures; and the identification of development work by third parties. One recommendation is made to the British Standards Institution relating to the enhancement of a British Standard, and one recommendation is addressed to the Department for Communities and Local Government relating to a recommendation made by the RAIB in 2007 which has not been implemented.\n\nR032014-140213-Old-Street.pdf \n\nResponse to recommendations:#\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Old Street and Essex Road\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heavy rail and 1 others/penetration_of_a_tunnel_at_old_street.txt','Heavy rail and 1 others'
'\n  On 10 June 2007 at approximately 17:35 hrs, a northbound train to Edgware was travelling on the Northern Line when, due to repair work, it was incorrectly routed into the High Barnet platform at Camden Town. To correct this, the train directly behind it was deliberately routed to Edgware for the passengers and crew to exchange trains. During the exchange, a driver entered the wrong end of the High Barnet train and drove southwards for 108 metres, before stopping 20 metres away from an approaching train. There was no collision, derailment or injuries to passengers or staff.\n\nThe immediate cause of the incident was that the train driver entered the incorrect cab when joining the train and drove the train in the wrong direction from Camden Town station. The driver did not carry out the correct procedure for starting a train from a station. There were five contributory factors which involved train crew unfamiliarity with changing trains at Camden Town, inappropriate use of the train regulation equipment while under repair, and the driver did not observe and respond to the stop board.\n\nLondon Underground Ltd (LUL) have taken action to prevent similar incidents, including additional staff training and changes to operational procedures. They have also improved the reliability of train regulation equipment which controls the routing of trains.\n\nRAIB has made four recommendations to address causal and contributory factors. These concern:\n\n\n  installation of warning signs at Camden Town\n  instructions for drivers when they leave a cab of a train to be replaced by driver\n  recording technical interventions in the control room\n  familiarity induction to stations where drivers may be required to change platforms between trains.\n\n\n R062008-080311-Camden-Town.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Camden Town\n\n',/home/wattams/temp/raib-scrape/data/txt/./Metros/tube_train_driven_in_the_wrong_direction_camden_town.txt,Metros
'\n  At 12:31 hrs on 4 December 2012 a collision occurred between a passenger train and a car at Beech Hill automatic half barrier (AHB) level crossing near Finningley, on the line between Gainsborough and Doncaster. One of the occupants of the car, a young child, was seriously injured in the collision and later died in hospital.\n\nThe train involved was operated by East Midlands Trains. It consisted of a single carriage unit and was travelling at 60 mph (96 km/h) at the time of the collision. None of the 20 passengers and two crew members on the train was injured in the accident. Equipment beneath the train was damaged in the collision leading to the spillage of diesel fuel from the train’s fuel tank, but there was no fire.\n\nThe level crossing was owned and maintained by Network Rail and was fitted with a data logger which showed that the crossing was operating normally at the time of the accident, with the barriers down as the car approached. The car driver stated that she did not see that the road traffic light signals (known as wig-wags) were flashing as she approached and only noticed the lights and barriers when she was very close to the crossing. The weather was sunny at the time of the collision but there had been rain showers earlier and the road surface was wet, leading to glare from the low winter sun.\n\nThe RAIB took the wig-wag units and arranged for testing in an optical laboratory. It was found that they were fitted with 36 W lamps and an obsolete design of red lens unit. Their light output was measured to be well below the specification for lights of this type. Network Rail had no plans in place to replace the light units with brighter ones and had no process to identify that such replacement was necessary.\n\nThe RAIB has made four recommendations as follows:\n\n\n  infrastructure managers to determine which level crossings are fitted with 36 W lamps and draw up plans for their replacement with LED units\n  infrastructure managers to devise a method of assessing the risk of a bright background and glare preventing wig-wag signals from being seen and propose means of mitigating this\n  infrastructure managers to introduce a new ‘brighter’ type of LED wig-wag for use at sites where sunlight glare has been identified as a problem\n  infrastructure managers to enhance the inspection and maintenance process for wig-wag lamps.\n\n\nR172013-130924-Beech-Hill-v2.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Beech Hill LC\n\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heavy rail and 2 others/collision_at_beech_hill_level_crossing.txt','Heavy rail and 2 others'
'\n  On Tuesday 30 May 2006 a prototype tram with a new type of running gear derailed on a curved section of the loop at Starr Gate on the Blackpool Tramway. The tram was undertaking a series of test runs when the derailment occurred at low speed. There were no injuries or significant damage caused by the incident.\n\nThe immediate cause of the incident was that the tip of the flange on a wheel contacted a worn section of the rail on the inner radius of the track curve and so climbed onto the rail head. The derailment risks associated with the operating of this type of tram on such a section of curved and worn track had not been previously identified and were therefore not mitigated.\n\nRAIB has made two recommendations aimed at:\n\n\n  further understanding the dynamic behaviour of the prototype tram;\n  controlling rail wear on the Blackpool tramway.\n\n\nR152007-070529-Starr-Gate.pdf\n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body.\n  RAIB may add comment, particularly if we have concerns regarding these responses.  \n\n\nRAIB recommendation response for Starr Gate\n\n\n','/home/wattams/temp/raib-scrape/data/txt/./Light rail/derailment_at_starr_gate.txt','Light rail'
'\n  A summary of the key points from the report is included below -\n\nThe derailment and the subsequent response\n\nOn Friday 23 February 2007 a Virgin West Coast train from London Euston to Glasgow derailed on 2B points at Lambrigg, near Grayrigg in Cumbria, while travelling at the authorised speed of 95mph (153 km/h). All nine carriages of the Class 390 Pendolino were derailed. There were at least 105 passengers and four crew on board. One passenger was fatally injured, 28 passengers, the train driver and one other crew member were seriously injured, and 59 passengers received minor injuries.\n\nThe immediate cause of the derailment was the deterioration of 2B points through a combination of failures of the three stretcher bars, the lock stretcher bar, and their fastenings. This allowed the left-hand switch rail to move into an unsafe position close to its stock rail, without losing signalling detection. This came about as a result of a combination of three factors, which were:\n\n\n  the mechanical failure of a bolted joint\n  the incorrect set up the points\n  a track inspection that was missed on 18 February 2007.\n\n\nAll three factors were necessary for the accident to occur.\n\nContributory factors to the missed inspection included limited access times for maintenance of the West Coast Main Line at Grayrigg.\n\nUnderlying factors included:\n\n\n  Network Rail, perceived, based on the performance to date, that the risk associated with this design of S&C was low\n  within Network Rail there was an incomplete understanding of the design, maintenance and inspection of the design of stretcher bars used in 2B points due to the limited application of a risk-based assessment.\n\n\nIn the thirty five years since the design of points used in 2B points was introduced there has been no previous catastrophic accident associated with the type of stretcher bars used in the design.\n\nImmediately after the accident Network Rail carried out an extensive check of points on their system. Although some defects were found there were no other stretcher bars in a similar state to that of 2B points, with all three factors present.\n\nAs a result of the emerging findings from the investigation RAIB issued Urgent Safety Advice to the industry relating to: the inspection and maintenance of points on 6 June 2007; and the design of fastener systems, and their relevant to inspection processes, on 26 November 2007. This advice was sent to Network Rail, and also to Nexus, Manchester Metrolink, Northern Ireland Railways and London Underground, who all use a similar design of points.\n\nNetwork Rail has reported it is taking steps to improve the set up and inspection of points similar to 2B points, and has strengthened its management of these activities. New instructions have also been issued for the standardisation of track inspection.\n\nNetwork Rail is now carrying out work to assess the design of this type of points in order to assess any modifications to the design and maintenance/inspection regime.\n\nPotters Bar\n\nAll of RAIB’s investigations consider the relevance of previous similar occurrences. In this context RAIB considered the accident at Potters Bar in May 2002 where seven persons lost their lives. Whilst the type of points involved were different, a recommendation made by the Potters Bar Investigation Board (dated May 2003) identified the need for Network Rail to apply a risk-based approach to the management and maintenance of its points assets based on an understanding of the design and safety requirements. Network Rail had accepted the value of such an approach but did not consider its application to existing points with non-adjustable stretcher bars to be a priority.\n\nThe train\n\nThe train performed better than has been seen with earlier designs of trains in previous accidents. The passenger and crew areas were not significantly compromised; only two windows did not fully retain people within the carriages, the bogies did not separate form the carriage bodies. However, RAIB considers that safety could be improved by improving the design of seat mountings, and the lighting panels above the seats and has made further recommendations for the study of rail vehicles in ‘roll over’.\n\nThe rescue\n\nThe rescue of the passengers by the emergency services was swift, proportionate and well co-ordinated. However, RAIB has identified some areas where further improvements could be made.\n\nRecommendations\n\nRAIB has made twenty-nine safety recommendations. Twenty-one of these are directed at Network Rail. The primary long-term recommendations relate to a review of the design, inspection and maintenance of points, and particularly non-adjustable stretcher bar systems as used on 2B points. The short-term recommendations relate to mitigation of the risk from points in advance of the implementation of the longer- term recommendations. Further recommendations are targeted at Network Rail to address the underlying technical and managerial issues, and an issue of fatigue of staff.\n\nEight recommendations are directed at other organisations. They primarily deal with issues relating to: the behaviour of the train as a consequence of the derailment; and the rescue services.\n\nThe Office of Rail Regulation (ORR), the safety regulator for the railway industry, broadly supports the report and the findings. The responsibility of the ORR is to ensure that the recommendations that are directed at industry parties are duly taken into consideration and where appropriate acted upon. The ORR then has to report back to RAIB on the measures taken to implement the recommendations or explain why measures have not been taken.\n\nR202008-081023-Grayrigg-v5.pdf\n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Grayrigg\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heavy rail/derailment_at_grayrigg.txt','Heavy rail'
'\n  A steam locomotive hauling a passenger train on the Kirklees Light Railway on 3 July 2011 ran low on water in the boiler. The train crew did not take prompt action to deal with the situation and the boiler overheated, damaging the locomotive and giving rise to a risk of injury to the train crew if the overheated metal had ruptured.\n\nThe cause of the incident was that the driver did not ensure that sufficient water was put into the boiler during the journey and did not remove the fire from the locomotive when he realised the water had run low. The driver had just completed his training for driving steam locomotives. The underlying cause was that the Kirklees Light Railway’s safety management system was inadequate to deal with the risks arising from operation of a steam railway.\n\nTwo recommendations have been made to the Kirklees Light Railway concerning their safety management system and operating procedures.\n\nR042012-120313-Kirklees.pdf \n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Kirklees \n\n','/home/wattams/temp/raib-scrape/data/txt/./Heritage railways/incident_on_the_kirklees_light_railway.txt','Heritage railways'
'\n  At around 12:20 hrs on 21 May 2012, a volunteer train guard was fatally injured after becoming trapped between two coaches at Grosmont station on the North Yorkshire Moors Railway. The coaches had just been uncoupled and the accident occurred when the steam locomotive that was reversing the uncoupled coach away from the stationary coaches changed its direction. The driver applied the brake as soon as he realised this, but there was insufficient distance to stop and avoid trapping the guard who had moved back between the vehicles to complete the work associated with the uncoupling.\n\nThe locomotive changed direction because its screw reverser was not locked and moved under the weight of the valve gear from reverse to forward gear. It is likely that the guard moved back between the coaches because he had no reason to believe that the locomotive and coach moving away from him would change its direction.\n\nRAIB has identified two key learning points relating to the locking of screw reversers and not going between railway vehicles unless they are stationary. It has also made a recommendation to the North Yorkshire Moors Railway relating to the competence management system covering shunting.\n\nR232012-121018-Grosmont.pdf\n\nResponse to recommendations:\n\n\n  RAIB will periodically update the status of recommendations as reported to us by the relevant safety authority or public body\n  RAIB may add comment, particularly if we have concerns regarding these responses.\n\n\nRAIB Recommendation response for Grosmont\n\n','/home/wattams/temp/raib-scrape/data/txt/./Heavy rail and 1 others/fatal_accident_at_grosmont.txt','Heavy rail and 1 others'
